userid	username	firstname	lastname	city	state	email	phone	likesports	liketheatre	likeconcerts	likejazz	likeclassical	likeopera	likerock	likevegas	likebroadway	likemusicals
1	JSG99FHE	Rafael	Taylor	Kent	WA	Etiam.laoreet.libero@sodalesMaurisblandit.edu	(664) 602-4412	true	true		false	true			true	false	true
2	PGL08LJI	Vladimir	Humphrey	Murfreesboro	SK	Suspendisse.tristique@nonnisiAenean.edu	(783) 492-1886				true	true			true	false	true
3	IFT66TXU	Lars	Ratliff	High Point	ME	amet.faucibus.ut@condimentumegetvolutpat.ca	(624) 767-2465	true	false		false		false	true			true
4	XDZ38RDD	Barry	Roy	Omaha	AB	sed@lacusUtnec.ca	(355) 452-8168	false	true		false						false
5	AEB55QTM	Reagan	Hodge	Forest Lake	NS	Cum@accumsan.com	(476) 519-9131			true	false			true	true	false	true
6	NDQ15VBM	Victor	Hernandez	Naperville	GA	turpis@accumsanlaoreet.org	(818) 765-4255	false			true		true	true	true	true	true
7	OWY35QYB	Tamekah	Juarez	Moultrie	WV	elementum@semperpretiumneque.ca	(297) 875-7247				true	true	false			false	false
8	AZG78YIP	Colton	Roy	Guayama	AK	ullamcorper.nisl@Cras.edu	(998) 934-9210			true	true		true	false		false	false
9	MSD36KVR	Mufutau	Watkins	Port Orford	MD	Integer.mollis.Integer@tristiquealiquet.org	(725) 719-7670	true	false		false	true				false	true
10	WKW41AIW	Naida	Calderon	Waterbury	MB	Donec.fringilla@sodalesat.org	(197) 726-8249	false	false	false		false	true		true		
11	MFN29TYU	Anika	Huff	Rawlins	MT	arcu.Curabitur@senectusetnetus.com	(419) 147-8207				true		true				
12	FVK28WAS	Bruce	Beck	Kona	OH	ac@velit.ca	(617) 527-9908			false			false				
13	QTF33MCG	Henry	Cochran	Bossier City	QC	Aliquam.vulputate.ullamcorper@amalesuada.org	(783) 105-0989		true					true	true	true	
14	OVQ88RKY	Mallory	Farrell	Villa Park	ID	vel.est@velitegestas.edu	(711) 160-7386						true			false	
